Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
15.889028787612915	50	63.9375	21.143760161097173	105.0	27.0	63.9375	21.143760161097173	1023	52322
16.204548358917236	51	72.4	27.565195446432085	125.0	41.0	72.4	27.565195446432085	1086	53408
16.48215389251709	52	65.0	18.634645153584223	102.0	37.0	65.0	18.634645153584223	1040	54448
16.76392889022827	53	65.1875	21.21090153081665	97.0	32.0	65.1875	21.21090153081665	1043	55491
17.066616535186768	54	65.25	24.539508960042376	126.0	30.0	65.25	24.539508960042376	1044	56535
17.395177364349365	55	78.85714285714286	32.11109541855575	177.0	51.0	78.85714285714286	32.11109541855575	1104	57639
17.724339962005615	56	79.53846153846153	26.716792139935528	115.0	31.0	79.53846153846153	26.716792139935528	1034	58673
18.01671838760376	57	72.42857142857143	35.99943310211244	143.0	29.0	72.42857142857143	35.99943310211244	1014	59687
18.338674783706665	58	81.07692307692308	36.084221010258204	185.0	51.0	81.07692307692308	36.084221010258204	1054	60741
18.633517503738403	59	67.33333333333333	23.88490922923696	125.0	34.0	67.33333333333333	23.88490922923696	1010	61751
18.956568956375122	60	97.63636363636364	40.34459010094443	168.0	38.0	97.63636363636364	40.34459010094443	1074	62825
19.237017154693604	61	95.36363636363636	28.12075495971138	163.0	57.0	95.36363636363636	28.12075495971138	1049	63874
19.51942253112793	62	84.41666666666667	28.214825693044585	144.0	39.0	84.41666666666667	28.214825693044585	1013	64887
19.82956624031067	63	72.07142857142857	18.656535759100947	109.0	44.0	72.07142857142857	18.656535759100947	1009	65896
20.11203646659851	64	89.66666666666667	27.3597433386272	158.0	53.0	89.66666666666667	27.3597433386272	1076	66972
20.404237031936646	65	88.75	24.983744715314394	131.0	55.0	88.75	24.983744715314394	1065	68037
20.69533395767212	66	99.63636363636364	31.119338411034636	178.0	54.0	99.63636363636364	31.119338411034636	1096	69133
20.99211287498474	67	110.5	45.04497752247191	185.0	51.0	110.5	45.04497752247191	1105	70238
21.289978504180908	68	112.3	41.38127595906149	186.0	41.0	112.3	41.38127595906149	1123	71361
21.58821153640747	69	107.1	38.42772436666007	190.0	52.0	107.1	38.42772436666007	1071	72432
21.919032096862793	70	114.4	32.49061402928544	180.0	71.0	114.4	32.49061402928544	1144	73576
22.232142210006714	71	102.72727272727273	37.921188390207654	172.0	43.0	102.72727272727273	37.921188390207654	1130	74706
22.518816471099854	72	118.66666666666667	40.4007700696685	200.0	73.0	118.66666666666667	40.4007700696685	1068	75774
22.802013158798218	73	144.0	41.47288270665544	200.0	84.0	144.0	41.47288270665544	1008	76782
23.074339628219604	74	133.0	52.56900227320279	200.0	81.0	133.0	52.56900227320279	1064	77846
23.413642406463623	75	144.375	43.557253988285346	200.0	66.0	144.375	43.557253988285346	1155	79001
23.732691287994385	76	163.57142857142858	33.4657912452921	200.0	122.0	163.57142857142858	33.4657912452921	1145	80146
24.012274265289307	77	169.16666666666666	30.002314725515582	200.0	122.0	169.16666666666666	30.002314725515582	1015	81161
24.316447496414185	78	187.83333333333334	24.6198880762868	200.0	133.0	187.83333333333334	24.6198880762868	1127	82288
24.589205503463745	79	168.16666666666666	37.817177167114004	200.0	102.0	168.16666666666666	37.817177167114004	1009	83297
24.915516138076782	80	187.0	15.165750888103101	200.0	161.0	187.0	15.165750888103101	1122	84419
25.27681064605713	81	189.16666666666666	11.378586125798854	200.0	172.0	189.16666666666666	11.378586125798854	1135	85554
25.576855897903442	82	188.66666666666666	20.45048220023729	200.0	144.0	188.66666666666666	20.45048220023729	1132	86686
25.911019325256348	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	87886
26.207149505615234	84	173.33333333333334	30.976693747970515	200.0	122.0	173.33333333333334	30.976693747970515	1040	88926
26.47098398208618	85	167.16666666666666	38.748835107938696	200.0	105.0	167.16666666666666	38.748835107938696	1003	89929
26.74972176551819	86	168.66666666666666	21.413910328465363	200.0	138.0	168.66666666666666	21.413910328465363	1012	90941
27.07506513595581	87	171.14285714285714	14.593820330425297	200.0	154.0	171.14285714285714	14.593820330425297	1198	92139
27.397907733917236	88	160.57142857142858	30.649433193813564	196.0	114.0	160.57142857142858	30.649433193813564	1124	93263
27.684178590774536	89	156.85714285714286	24.162713727846825	188.0	124.0	156.85714285714286	24.162713727846825	1098	94361
27.95920467376709	90	128.375	37.553087423006914	169.0	66.0	128.375	37.553087423006914	1027	95388
28.245083332061768	91	116.33333333333333	20.19350830781461	151.0	86.0	116.33333333333333	20.19350830781461	1047	96435
28.513502836227417	92	136.25	20.017180121085985	176.0	109.0	136.25	20.017180121085985	1090	97525
28.794594526290894	93	127.25	12.04937757728589	144.0	106.0	127.25	12.04937757728589	1018	98543
29.056456565856934	94	103.0	33.47536407569005	145.0	51.0	103.0	33.47536407569005	1030	99573
29.372710943222046	95	110.9	32.6111943970165	147.0	41.0	110.9	32.6111943970165	1109	100682
29.622716665267944	96	126.5	11.853269591129697	152.0	109.0	126.5	11.853269591129697	1012	101694
29.88773202896118	97	113.55555555555556	22.151554302682495	149.0	61.0	113.55555555555556	22.151554302682495	1022	102716
30.134576320648193	98	132.0	17.67766952966369	163.0	110.0	132.0	17.67766952966369	1056	103772
30.443102836608887	99	136.125	27.939387520130072	198.0	105.0	136.125	27.939387520130072	1089	104861
